Name,Team,Hrs,Hits,RBI,HRpg,fHRpg,Hpg,fHpg,RBIpg,fRBIpg,HR24,HR24pg,fHR24pg
Jac Caglianone,Kansas City Royals,2,13,4,0.118,1/7,0.765,3/4,0.235,1/4,0,0,0
Freddy Fermin,Kansas City Royals,2,34,8,0.044,0,0.756,3/4,0.178,1/6,6,0.05,0
Michael Massey,Kansas City Royals,2,40,14,0.036,0,0.714,5/7,0.25,1/4,14,0.14,1/7
Cavan Biggio,Kansas City Royals,1,12,4,0.027,0,0.324,1/3,0.108,1/7,5,0.06,0,3,0.1,1/7,2,0.05,0,0,0.0,0
Nick Loftin,Kansas City Royals,1,11,5,0.056,0,0.611,3/5,0.278,2/7,1,0.02,0
Luke Maile,Kansas City Royals,1,3,1,0.333,1/3,1.0,1,0.333,1/3,2,0.04,0
MJ Melendez,Kansas City Royals,1,4,1,0.062,0,0.25,1/4,0.062,0,17,0.13,1/7
Drew Waters,Kansas City Royals,1,49,14,0.016,0,0.803,4/5,0.23,1/4,0,0.0,0
Cal Raleigh,Seattle Mariners,32,79,68,0.421,3/7,1.039,1,0.895,6/7,34,0.22,1/5
Jorge Polanco,Seattle Mariners,11,55,36,0.172,1/6,0.859,6/7,0.562,4/7,16,0.14,1/7
Julio Rodríguez,Seattle Mariners,11,80,39,0.145,1/7,1.053,1,0.513,1/2,20,0.14,1/7
Rowdy Tellez,Seattle Mariners,11,36,27,0.177,1/6,0.581,4/7,0.435,3/7,13,0.1,1/7
Randy Arozarena,Seattle Mariners,8,66,31,0.107,1/7,0.88,6/7,0.413,2/5,20,0.13,1/7,5,0.09,1/7,15,0.15,1/7
Dylan Moore,Seattle Mariners,8,35,16,0.136,1/7,0.593,3/5,0.271,2/7,10,0.07,0
J.P. Crawford,Seattle Mariners,6,76,30,0.081,1/7,1.027,1,0.405,2/5,9,0.09,1/7
Dominic Canzone,Seattle Mariners,4,12,7,0.308,1/3,0.923,6/7,0.538,4/7,8,0.12,1/7
Mitch Garver,Seattle Mariners,3,25,16,0.068,0,0.568,4/7,0.364,1/3,15,0.13,1/7
Luke Raley,Seattle Mariners,3,19,13,0.111,1/7,0.704,5/7,0.481,1/2,22,0.16,1/6
Donovan Solano,Seattle Mariners,3,27,13,0.068,0,0.614,3/5,0.295,2/7,8,0.08,1/7
Byron Buxton,Minnesota Twins,17,65,47,0.279,2/7,1.066,1,0.77,3/4,18,0.18,1/6
Trevor Larnach,Minnesota Twins,11,70,36,0.151,1/7,0.959,1,0.493,1/2,15,0.13,1/7
Harrison Bader,Minnesota Twins,7,48,27,0.1,1/7,0.686,2/3,0.386,2/5,12,0.08,1/7
Willi Castro,Minnesota Twins,7,54,17,0.125,1/7,0.964,1,0.304,2/7,12,0.08,1/7
Kody Clemens,Minnesota Twins,7,23,17,0.14,1/7,0.46,3/7,0.34,1/3,23,17,0.163,1/6,0.535,1/2,0.395,2/5,0,0,0.0,0,0.0,0,0.0,0,5,0.11,1/7
Brooks Lee,Minnesota Twins,7,62,28,0.113,1/7,1.0,1,0.452,3/7,3,0.06,0
Carlos Correa,Minnesota Twins,6,64,24,0.09,1/7,0.955,1,0.358,1/3,14,0.16,1/6
Ty France,Minnesota Twins,6,74,42,0.079,1/7,0.974,1,0.553,4/7,13,0.09,1/7,5,0.1,1/7,8,0.09,1/7
Ryan Jeffers,Minnesota Twins,6,52,27,0.097,1/7,0.839,5/6,0.435,3/7,21,0.17,1/6
Matt Wallner,Minnesota Twins,6,26,10,0.158,1/6,0.684,2/3,0.263,1/4,13,0.17,1/6
Eugenio Suárez,Arizona Diamondbacks,25,71,67,0.321,1/3,0.91,6/7,0.859,6/7,30,0.19,1/5
Corbin Carroll,Arizona Diamondbacks,20,73,44,0.278,2/7,1.014,1,0.611,3/5,22,0.14,1/7
Ketel Marte,Arizona Diamondbacks,14,60,31,0.269,2/7,1.154,8/7,0.596,3/5,36,0.26,1/4
Lourdes Gurriel Jr.,Arizona Diamondbacks,10,72,40,0.139,1/7,1.0,1,0.556,4/7,18,0.14,1/7
Josh Naylor,Arizona Diamondbacks,9,87,51,0.12,1/7,1.16,7/6,0.68,2/3,31,0.2,1/5
Geraldo Perdomo,Arizona Diamondbacks,8,73,52,0.104,1/7,0.948,1,0.675,2/3,3,0.03,0
Pavin Smith,Arizona Diamondbacks,8,51,25,0.114,1/7,0.729,5/7,0.357,1/3,9,0.15,1/7
Tim Tawa,Arizona Diamondbacks,6,30,14,0.115,1/7,0.577,4/7,0.269,2/7,0,0,0
Gabriel Moreno,Arizona Diamondbacks,5,47,20,0.094,1/7,0.887,6/7,0.377,2/5,5,0.05,0
Randal Grichuk,Arizona Diamondbacks,3,28,15,0.06,0,0.56,4/7,0.3,2/7,12,0.11,1/7
Alek Thomas,Arizona Diamondbacks,3,49,19,0.044,0,0.721,5/7,0.279,2/7,3,0.08,1/7
Miguel Vargas,Chicago White Sox,10,67,34,0.132,1/7,0.882,6/7,0.447,3/7,5,0.07,0,3,0.1,1/7,2,0.05,0
Andrew Benintendi,Chicago White Sox,8,44,29,0.157,1/6,0.863,6/7,0.569,4/7,20,0.15,1/7
Luis Robert Jr.,Chicago White Sox,7,45,31,0.099,1/7,0.634,3/5,0.437,3/7,14,0.14,1/7
Andrew Vaughn,Chicago White Sox,5,35,19,0.104,1/7,0.729,5/7,0.396,2/5,19,0.13,1/7
Tim Elko,Chicago White Sox,4,9,8,0.222,1/5,0.5,1/2,0.444,3/7,0,0,0
Lenyn Sosa,Chicago White Sox,4,61,17,0.062,0,0.953,1,0.266,2/7,8,0.08,1/7
Mike Tauchman,Chicago White Sox,4,25,14,0.143,1/7,0.893,6/7,0.5,1/2,7,0.06,0
Michael A. Taylor,Chicago White Sox,4,29,17,0.059,0,0.426,3/7,0.25,1/4,5,0.04,0
Brooks Baldwin,Chicago White Sox,3,28,16,0.064,0,0.596,3/5,0.34,1/3,2,0.06,0
Joshua Palacios,Chicago White Sox,3,26,9,0.059,0,0.51,1/2,0.176,1/6,2,0.09,1/7
Oneil Cruz,Pittsburgh Pirates,13,54,31,0.186,1/5,0.771,3/4,0.443,3/7,21,0.14,1/7
Andrew McCutchen,Pittsburgh Pirates,8,64,28,0.114,1/7,0.914,6/7,0.4,2/5,20,0.17,1/6
Bryan Reynolds,Pittsburgh Pirates,8,66,39,0.108,1/7,0.892,6/7,0.527,1/2,24,0.15,1/7
Henry Davis,Pittsburgh Pirates,4,19,11,0.118,1/7,0.559,4/7,0.324,1/3,1,0.03,0
Alexander Canario,Pittsburgh Pirates,3,30,10,0.065,0,0.652,2/3,0.217,1/5,1,0.07,0
Adam Frazier,Pittsburgh Pirates,3,54,20,0.044,0,0.794,4/5,0.294,2/7,4,0.04,0
Jared Triolo,Pittsburgh Pirates,3,21,9,0.062,0,0.438,3/7,0.188,1/5,9,0.07,0
Nick Gonzales,Pittsburgh Pirates,2,24,7,0.105,1/7,1.263,5/4,0.368,2/5,7,0.07,0
Matt Gorski,Pittsburgh Pirates,2,8,4,0.133,1/7,0.533,1/2,0.267,2/7,0,0,0
Ke'Bryan Hayes,Pittsburgh Pirates,2,62,22,0.027,0,0.849,6/7,0.301,2/7,4,0.04,0
Enmanuel Valdez,Pittsburgh Pirates,2,19,12,0.065,0,0.613,3/5,0.387,2/5,6,0.08,1/7
Christian Yelich,Milwaukee Brewers,15,74,56,0.203,1/5,1.0,1,0.757,3/4,11,0.15,1/7
Jackson Chourio,Milwaukee Brewers,12,86,46,0.154,1/7,1.103,8/7,0.59,3/5,21,0.14,1/7
Rhys Hoskins,Milwaukee Brewers,12,61,40,0.162,1/6,0.824,5/6,0.541,4/7,26,0.2,1/5
William Contreras,Milwaukee Brewers,6,65,34,0.081,1/7,0.878,6/7,0.459,3/7,23,0.15,1/7
Jake Bauers,Milwaukee Brewers,5,23,18,0.104,1/7,0.479,1/2,0.375,2/5,12,0.1,1/7
Brice Turang,Milwaukee Brewers,5,78,31,0.066,0,1.026,1,0.408,2/5,7,0.05,0
Isaac Collins,Milwaukee Brewers,4,38,19,0.067,0,0.633,3/5,0.317,1/3,0,0.0,0
Sal Frelick,Milwaukee Brewers,4,81,30,0.053,0,1.066,1,0.395,2/5,2,0.01,0
Caleb Durbin,Milwaukee Brewers,3,43,26,0.052,0,0.741,3/4,0.448,3/7,0,0,0
Eric Haase,Milwaukee Brewers,2,11,7,0.091,1/7,0.5,1/2,0.318,1/3,5,0.17,1/6
Joey Ortiz,Milwaukee Brewers,2,52,14,0.026,0,0.675,2/3,0.182,1/6,11,0.08,1/7
Pete Crow-Armstrong,Chicago Cubs,21,82,61,0.273,2/7,1.065,1,0.792,4/5,10,0.08,1/7
Seiya Suzuki,Chicago Cubs,20,76,64,0.27,2/7,1.027,1,0.865,6/7,21,0.16,1/6
Kyle Tucker,Chicago Cubs,15,81,46,0.195,1/5,1.052,1,0.597,3/5,23,0.29,2/7
Dansby Swanson,Chicago Cubs,14,70,39,0.182,1/6,0.909,6/7,0.506,1/2,16,0.11,1/7
Michael Busch,Chicago Cubs,12,64,44,0.167,1/6,0.889,6/7,0.611,3/5,21,0.14,1/7
Ian Happ,Chicago Cubs,11,69,38,0.159,1/6,1.0,1,0.551,4/7,25,0.16,1/6
Carson Kelly,Chicago Cubs,9,40,26,0.184,1/6,0.816,5/6,0.531,1/2,9,0.1,1/7,7,0.12,1/7,2,0.06,0
Miguel Amaya,Chicago Cubs,4,26,25,0.148,1/7,0.963,1,0.926,1,8,0.07,0
Reese McGuire,Chicago Cubs,4,10,6,0.333,1/3,0.833,5/6,0.5,1/2,3,0.06,0
Matt Shaw,Chicago Cubs,2,35,9,0.042,0,0.729,5/7,0.188,1/5,0,0,0
Nolan Arenado,St. Louis Cardinals,10,70,39,0.137,1/7,0.959,1,0.534,1/2,16,0.11,1/7
Willson Contreras,St. Louis Cardinals,10,69,50,0.135,1/7,0.932,1,0.676,2/3,15,0.18,1/6
Lars Nootbaar,St. Louis Cardinals,10,66,33,0.133,1/7,0.88,6/7,0.44,3/7,12,0.11,1/7
Alec Burleson,St. Louis Cardinals,9,70,32,0.132,1/7,1.029,1,0.471,1/2,21,0.14,1/7
Iván Herrera,St. Louis Cardinals,8,48,36,0.19,1/5,1.143,8/7,0.857,6/7,5,0.07,0
Masyn Winn,St. Louis Cardinals,6,64,25,0.09,1/7,0.955,1,0.373,2/5,15,0.1,1/7
Brendan Donovan,St. Louis Cardinals,5,85,29,0.07,0,1.197,6/5,0.408,2/5,14,0.09,1/7
Nolan Gorman,St. Louis Cardinals,5,30,20,0.1,1/7,0.6,3/5,0.4,2/5,19,0.18,1/6
Pedro Pagés,St. Louis Cardinals,5,40,22,0.085,1/7,0.678,2/3,0.373,2/5,7,0.1,1/7
Victor Scott II,St. Louis Cardinals,3,55,24,0.041,0,0.753,3/4,0.329,1/3,2,0.04,0
Jordan Walker,St. Louis Cardinals,3,37,23,0.055,0,0.673,2/3,0.418,3/7,5,0.1,1/7
Kyle Schwarber,Philadelphia Phillies,24,71,55,0.308,1/3,0.91,6/7,0.705,5/7,38,0.25,1/4
Bryce Harper,Philadelphia Phillies,9,55,34,0.158,1/6,0.965,1,0.596,3/5,30,0.21,1/5
Max Kepler,Philadelphia Phillies,9,49,27,0.127,1/7,0.69,2/3,0.38,2/5,8,0.08,1/7
