Mark Salas,NYY
Mike Lieberthal,PHI
Mike Strahler,DET
Lew Drill,WSH
Carl Everett,TEX
Joe Ginsberg,NYM
Erv Kantlehner,PIT
Luis Ortiz,PIT
Hanley Ramírez,LAD
George Hall,ATH
Brett Anderson,LAD
Neill Sheridan,BOS
Bill Dreesen,BSN
Jack Tobin,SLM
Art Bader,SLB
Dixie Parker,PHI
Bill Knickerbocker,NYY
Jacob Waguespack,TOR
David Justice,OAK
Lenny Webster,BOS
Dave Edwards,SDP
Lew Brown,LOU
Lou Merloni,SDP
Willie McGee,BOS
Win Ballou,WSH
Rick Peters,DET
Dan Ardell,LAA
Ed Durham,CHW
George Stovall,CLE
Chuck Malone,PHI
Lefty Wallace,BSN
Joseph Herr,STL
Odell Hale,CLE
Herman Gordon,CBN
Kevin Buckley,TEX
Spook Jacobs,PIT
Claude Ritchey,PIT
Johnny Klippstein,DET
Britt Reames,MON
Eugenio Vélez,LAD
Eli Marrero,ATL
Johnny Marcum,BOS
José Hernández,PHI
Ben Lively,CLE
Pitts,NE
Joel Kuhnel,HOU
Joe Scott,BBB
Al Bridwell,BSN
Mike Corcoran,CHC
Chuck Crim,CHC
Rodolfo Fernández,NYC
Scott Baker,LAD
Dave Haas,DET
Tom Brown,BSN
Matt Belisle,STL
Nat Hicks,CIN
Rick Bauer,CLE
Pat Borders,CAL
Mudcat Grant,CLE
Wyatt Mills,KCR
Doc Newton,BRO
Bobby Williams,NLG
Juan Uribe,CLE
Peter O'Brien,MIA
Frank West,BSN
Dots Miller,STL
Aaron Ashby,MIL
Neb Stewart,PHI
Mike Darr,SDP
Al Simmons,BOS
JC Ramirez,PHI
Jim Edmonds,SDP
Scott Erickson,MIN
Brady Singer,KCR
Bill Stearns,HAR
Mike Magnante,KCR
Chris Seelbach,ATL
Frank Delahanty,NYY
Steve Farr,NYY
Bernardo Flores Jr.,CHW
Tim Costo,CIN
Jim Hearn,PHI
Tony Peña,CHW
Ron Davis,SFG
George Smith,BOS
Frank Jelincich,CHC
Paul Waner,PIT
Jason Heyward,ATL
Dave Sappelt,CHC
Carlos Delgado,NYM
Earl Gurley,SLS
Andy Benes,SDP
Byron Houck,BTT
Ray Mueller,CIN
Bob Miller,CLE
Al Bool,WSH
Frankie De La Cruz,MIL
David Fry,CLE
Happy Townsend,WSH
Ron Coomer,MIN
Jerry Akers,WSH
Sonny Harris,BBS
Scott Kamieniecki,NYY
James Steels,SFG
Tuck Stainback,DET
Garrett Atkins,COL
Tommy Bond,BRA
Hal King,HOU
Kevin Stanfield,MIN
Marcus Thames,TEX
Bill Voss,OAK
Tim Mayza,PIT
Al Mamaux,PIT
John Kiley,WAS
Chappie Geygan,BOS
Lou Sleater,WSH
J.B. Wendelken,OAK
Marlin Carter,MRS
Bob Wicker,CIN
Milt Graff,KCA
George Handy,MRS
Kirby Snead,OAK
Red Treadway,NYG
Carter Capps,SDP
Joe Burns,CHW
Jack Coffey,DET
Joe Rudi,BOS
Bill Bishop,PHA
J.C. Escarra,NYY
Charlie Furbush,DET
Eddie Waitkus,CHC
Joel Youngblood,CIN
Elbert Williams,DS
Ron Roenicke,LAD
Charlie Engle,PHA
Jahmai Jones,BAL
Jim Hibbs,CAL
Hernán Pérez,MIL
Jim Hunter,MIL
Frankie Crosetti,NYY
Curtis Green,AC
Vin Mazzaro,MIA
Anthony Veneziano,MIA
Pug Griffin,PHA
Rick Dempsey,CLE
William Webster,NLG
Donald Harris,TEX
Terrmel Sledge,WSN
Allan Simpson,COL
Joel Zumaya,DET
Colton Gordon,HOU
Heinie Heltzel,PHI
Al Holland,PIT
Abbie Johnson,LOU
Joe Connors,KCC
Tony Barron,MON
John Cason,BRG
Steve Shemo,BSN
Zach Duke,PIT
Thurman,LVB
Doc Hamann,CLE
Red Schillings,PHA
Travis Jankowski,SEA
Phillips Valdéz,BOS
Herm McFarland,CIN
Bill Burns,PHI
Sandy Koufax,LAD
Dan Dobbek,MIN
Bernardo Baró,CSW
Pepper Martin,STL
Eric Chavez,NYY
Rey Fuentes,ARI
Maurice Peatros,HG
Steve Swisher,STL
Ben Gamel,MIL
Paul McClellan,SFG
Melvin Mora,NYM
Wally Moses,PHA
Matt Mieske,CHC
Brendon Little,TOR
Charlie DeArmond,CIN
Jason Kubel,MIN
Matt Andriese,SEA
Dick Drott,CHC
Rufus Hatten,BEG
Nick Punto,PHI
Taylor Thompson,CHW
Bill Atwood,PHI
Ryan Rowland-Smith,ARI
Josh Fogg,COL
Paul Kilgus,STL
A.J. Puk,ARI
Cory Wade,LAD
Dave Wainhouse,PIT
Jerrod Riggan,CLE
Travis Fryman,CLE
John Curtiss,LAA
Aquilino López,COL
Dick Groat,PHI
Steve Stanicek,PHI
Damon Berryhill,ATL
Robb Nen,TEX
Darwinzon Hernández,BOS
José Colás,MRS
Bobby Floyd,KCR
Pete Daley,BOS
Deacon McGuire,BOS
Jack Jackson,AC
Rafael Rodríguez,LAA
J.P. Howell,TBR
Roger Bresnahan,STL
Mickey Jannis,BAL
Julio Machado,NYM
Dave Cochrane,CHW
Scott McGregor,BAL
John Curtiss,NYM
Travis Jankowski,PHI
Bill Harris,HG
Ike Kamp,BSN
Mariano Duncan,NYY
Jack Heidemann,NYM
Hunter Wood,TBR
Jonathan Lucroy,WSN
Kenley Jansen,BOS
Paul Hardy,ID
Randy Martz,CHC
Mike Tiernan,NYG
Carlos Almánzar,CIN
Harvey Smith,WHS
Joe Sullivan,PHI
Phil Stremmel,SLB
R.B. Bryant,MRS
Von McDaniel,STL
Bud Sharpe,BSN
Charlie Ziegler,CLV
Harry Eells,CLE
F.P. Santangelo,LAD
Mike Young,CLE
Ron Darling,OAK
Charley Smith,CHW
Jarred Cosart,HOU
Luis Maza,LAD
Charlie Robinson,BRO
Rudy York,PHA
Ernie Vick,STL
Trevor Cahill,KCR
Ed McFarland,CHW
Dennis Gilchrist,AB2
Ryan Bukvich,BAL
Masahide Kobayashi,CLE
Charlie Whitehouse,WSH
Hay,ABC
Emil Yde,DET
Sean Douglass,TOR
Brandon Moss,CLE
