Column2,Column1,Column3
OnIce_A_scoreAdjustedUnblockedShotAttempts,on_ice_against_scoreAdjustedUnblockedShotAttempts,See above
OnIce_A_scoreVenueAdjustedxGoals,on_ice_against_scoreVenueAdjustedxGoals,See above
OnIce_A_shotAttempts,on_ice_against_shotAttempts,See above
OnIce_A_shotsOnGoal,on_ice_against_shotsOnGoal,See above
OnIce_A_unblockedShotAttempts,on_ice_against_unblockedShotAttempts,See above
OnIce_A_xGoals,on_ice_against_xGoals,See above
OnIce_A_xGoals_with_earned_rebounds,on_ice_against_xGoals_with_earned_rebounds,See above
OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,on_ice_against_xGoals_with_earned_rebounds_scoreAdjusted,See above
OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,on_ice_against_xGoals_with_earned_rebounds_scoreFlurryAdjusted,See above
OnIce_A_xGoalsFromActualReboundsOfShots,on_ice_against_xGoalsFromActualReboundsOfShots,See above
OnIce_A_xGoalsFromxReboundsOfShots,on_ice_against_xGoalsFromxReboundsOfShots,See above
OnIce_A_xOnGoal,on_ice_against_xOnGoal,"""On Ice Against"" version of xOnGoal stat. Gives 'credit' to all of the opposing team's player on ice for the event."
onIce_corsiPercentage,onIce_corsiPercentage,On Ice Shot Attempts For / (On Ice Shot Attempts For + On Ice Shot Attempts Against)
OnIce_F,on_ice_for_,"""On-ice For"". Every player on the ice on the team doing the event receives credit. OnIce_F_goals is the number of goals the player's team has scored while that player is on the ice, regardless of if they were the one who scored the goal or not."
OnIce_F_blockedShotAttempts,on_ice_for_blockedShotAttempts,See above
OnIce_F_flurryAdjustedxGoals,on_ice_for_flurryAdjustedxGoals,See above
OnIce_F_flurryScoreVenueAdjustedxGoals,on_ice_for_flurryScoreVenueAdjustedxGoals,See above
OnIce_F_goals,on_ice_for_goals,See above
OnIce_F_highDangerGoals,on_ice_for_highDangerGoals,See above
OnIce_F_highDangerShots,on_ice_for_highDangerShots,See above
OnIce_F_highDangerxGoals,on_ice_for_highDangerxGoals,See above
OnIce_F_lowDangerGoals,on_ice_for_lowDangerGoals,See above
OnIce_F_lowDangerShots,on_ice_for_lowDangerShots,See above
OnIce_F_lowDangerxGoals,on_ice_for_lowDangerxGoals,See above
OnIce_F_mediumDangerGoals,on_ice_for_mediumDangerGoals,See above
OnIce_F_mediumDangerShots,on_ice_for_mediumDangerShots,See above
OnIce_F_mediumDangerxGoals,on_ice_for_mediumDangerxGoals,See above
OnIce_F_missedShots,on_ice_for_missedShots,See above
OnIce_F_reboundGoals,on_ice_for_reboundGoals,See above
OnIce_F_rebounds,on_ice_for_rebounds,See above
OnIce_F_reboundxGoals,on_ice_for_reboundxGoals,See above
OnIce_F_scoreAdjustedShotsAttempts,on_ice_for_scoreAdjustedShotsAttempts,See above
OnIce_F_scoreAdjustedUnblockedShotAttempts,on_ice_for_scoreAdjustedUnblockedShotAttempts,See above
OnIce_F_scoreVenueAdjustedxGoals,on_ice_for_scoreVenueAdjustedxGoals,See above
OnIce_F_shotAttempts,on_ice_for_shotAttempts,See above
OnIce_F_shotsOnGoal,on_ice_for_shotsOnGoal,See above
OnIce_F_unblockedShotAttempts,on_ice_for_unblockedShotAttempts,See above
OnIce_F_xGoals,on_ice_for_xGoals,See above
OnIce_F_xGoals_with_earned_rebounds,on_ice_for_xGoals_with_earned_rebounds,See above
OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,on_ice_for_xGoals_with_earned_rebounds_scoreAdjusted,See above
OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,on_ice_for_xGoals_with_earned_rebounds_scoreFlurryAdjusted,See above
OnIce_F_xGoalsFromActualReboundsOfShots,on_ice_for_xGoalsFromActualReboundsOfShots,See above
OnIce_F_xGoalsFromxReboundsOfShots,on_ice_for_xGoalsFromxReboundsOfShots,See above
OnIce_F_xOnGoal,on_ice_for_xOnGoal,"""On Ice For"" version of xOnGoal stat. Gives credit to all of the team's players on the ice for the event, opposed to just the player who did the event"
onIce_fenwickPercentage,on_ice_for_enwickPercentage,On Ice Unblocked Shot Attempts For / (On Ice Unlbocked Shot Attempts For + On Ice Unbloked Shot Attempts Against)
onIce_xGoalsPercentage,onIce_xGoalsPercentage,On Ice xGoals For / (On Ice xGoals For + On Ice xGoals Against)
penalityMinutes,penalityMinutes,Number of penalty minutes the player has received
penalityMinutesDrawn,penalityMinutesDrawn,Number of penalty minutes the player has drawn
penalties,penalties,Number of penalties the player has received. Both majors and minors both count as '1'
penaltiesDrawn,penaltiesDrawn,Number of penalties the player has drawn
playerId,playerId,Unique ID for each player assigned by the NHL
,,
Score Adjusted,Score Adjusted,Adjusts metrics to gives more credit to away teams and teams with large leads.
season,season,Starting year of the season. For example 2018 for the 2018-2019 season
shifts,shifts,Number of shifts a player had
shotsBlockedByPlayer,shotsBlockedByPlayer,Number of shot attempts blocked by the player
situation,situation,"5on5 for normal play, 5on4 for a normal powerplay, 4on5 for a normal PK. 'Other' includes everything else: two man advantage, empty net, 4on3, etc. 'all' includes all situations"
,,
timeOnBench,timeOnBench,Amount of time the player has been on the bench for. (in seconds)
xGoalsAgainstAfterShifts,xGoalsAgainstAfterShifts,xGoals the opposing team gets between 1 and 5 seconds after the player has shifted off on the fly. Meant to identify players who shift off instead of backchecking
xGoalsForAfterShifts,xGoalsForAfterShifts,xGoals the player's team gets between 1 and 5 seconds after the player has shifted off on the fly. Meant to give credit to give players who leave the ice when the puck is going towards the opposing team's zone 
