DATE,TIME,AWAY_ABBREV,AWAY,HOME_ABBREV,HOME
2025-11-15,8:00 PM,VGK,Vegas Golden Knights,STL,St. Louis Blues
2025-11-15,7:00 PM,NJD,New Jersey Devils,WSH,Washington Capitals
2025-11-16,9:00 PM,NYI,New York Islanders,COL,Colorado Avalanche
2025-11-16,6:00 PM,VGK,Vegas Golden Knights,MIN,Minnesota Wild
2025-11-16,7:00 PM,DET,Detroit Red Wings,NYR,New York Rangers
2025-11-16,5:00 PM,VAN,Vancouver Canucks,TBL,Tampa Bay Lightning
2025-11-17,10:00 PM,UTA,Utah Mammoth,ANA,Anaheim Ducks
2025-11-17,7:00 PM,CAR,Carolina Hurricanes,BOS,Boston Bruins
2025-11-17,7:00 PM,EDM,Edmonton Oilers,BUF,Buffalo Sabres
2025-11-17,7:30 PM,MTL,Montreal Canadiens,CBJ,Columbus Blue Jackets
2025-11-17,7:00 PM,VAN,Vancouver Canucks,FLA,Florida Panthers
2025-11-17,7:00 PM,LAK,Los Angeles Kings,WSH,Washington Capitals
2025-11-18,8:30 PM,CGY,Calgary Flames,CHI,Chicago Blackhawks
2025-11-18,8:00 PM,NYI,New York Islanders,DAL,Dallas Stars
2025-11-18,7:00 PM,SEA,Seattle Kraken,DET,Detroit Red Wings
2025-11-18,10:00 PM,UTA,Utah Mammoth,SJS,San Jose Sharks
2025-11-18,7:00 PM,NJD,New Jersey Devils,TBL,Tampa Bay Lightning
2025-11-18,7:00 PM,STL,St. Louis Blues,TOR,Toronto Maple Leafs
2025-11-18,10:00 PM,NYR,New York Rangers,VGK,Vegas Golden Knights
2025-11-18,8:00 PM,CBJ,Columbus Blue Jackets,WPG,Winnipeg Jets
2025-11-19,10:00 PM,BOS,Boston Bruins,ANA,Anaheim Ducks
2025-11-19,7:30 PM,CGY,Calgary Flames,BUF,Buffalo Sabres
2025-11-19,9:30 PM,CAR,Carolina Hurricanes,MIN,Minnesota Wild
2025-11-19,7:00 PM,EDM,Edmonton Oilers,WSH,Washington Capitals
2025-11-20,10:00 PM,OTT,Ottawa Senators,ANA,Anaheim Ducks
2025-11-20,8:00 PM,SEA,Seattle Kraken,CHI,Chicago Blackhawks
2025-11-20,9:00 PM,NYR,New York Rangers,COL,Colorado Avalanche
2025-11-20,7:00 PM,NYI,New York Islanders,DET,Detroit Red Wings
2025-11-20,7:00 PM,NJD,New Jersey Devils,FLA,Florida Panthers
2025-11-20,7:00 PM,WSH,Washington Capitals,MTL,Montreal Canadiens
2025-11-20,7:00 PM,STL,St. Louis Blues,PHI,Philadelphia Flyers
