Name,Team,Hrs,Hits,RBI,HRpg,fHRpg,Hpg,fHpg,RBIpg,fRBIpg,HR24,HR24pg,fHR24pg
Andrew Benintendi,Chicago White Sox,9,45,30,0.17,1/6,0.849,6/7,0.566,4/7,20,0.15,1/7
Luis Robert Jr.,Chicago White Sox,8,46,32,0.11,1/7,0.63,3/5,0.438,3/7,14,0.14,1/7
Lenyn Sosa,Chicago White Sox,6,64,21,0.091,1/7,0.97,1,0.318,1/3,8,0.08,1/7
Andrew Vaughn,Chicago White Sox,5,35,19,0.104,1/7,0.729,5/7,0.396,2/5,19,0.13,1/7
Tim Elko,Chicago White Sox,4,9,8,0.222,1/5,0.5,1/2,0.444,3/7,0,0,0
Mike Tauchman,Chicago White Sox,4,29,14,0.133,1/7,0.967,1,0.467,1/2,7,0.06,0
Michael A. Taylor,Chicago White Sox,4,30,17,0.057,0,0.429,3/7,0.243,1/4,5,0.04,0
Brooks Baldwin,Chicago White Sox,3,28,16,0.064,0,0.596,3/5,0.34,1/3,2,0.06,0
Joshua Palacios,Chicago White Sox,3,26,9,0.059,0,0.51,1/2,0.176,1/6,2,0.09,1/7
Cal Raleigh,Seattle Mariners,32,81,69,0.405,2/5,1.025,1,0.873,6/7,34,0.22,1/5
Jorge Polanco,Seattle Mariners,11,55,36,0.167,1/6,0.833,5/6,0.545,4/7,16,0.14,1/7
Julio Rodríguez,Seattle Mariners,11,81,41,0.139,1/7,1.025,1,0.519,1/2,20,0.14,1/7
Rowdy Tellez,Seattle Mariners,11,36,27,0.177,1/6,0.581,4/7,0.435,3/7,13,0.1,1/7
Randy Arozarena,Seattle Mariners,8,68,31,0.103,1/7,0.872,6/7,0.397,2/5,20,0.13,1/7,5,0.09,1/7,15,0.15,1/7
Dylan Moore,Seattle Mariners,8,35,16,0.131,1/7,0.574,4/7,0.262,1/4,10,0.07,0
J.P. Crawford,Seattle Mariners,6,77,30,0.078,1/7,1.0,1,0.39,2/5,9,0.09,1/7
Dominic Canzone,Seattle Mariners,4,13,7,0.25,1/4,0.812,4/5,0.438,3/7,8,0.12,1/7
Mitch Garver,Seattle Mariners,3,26,16,0.067,0,0.578,4/7,0.356,1/3,15,0.13,1/7
Luke Raley,Seattle Mariners,3,19,14,0.103,1/7,0.655,2/3,0.483,1/2,22,0.16,1/6
Donovan Solano,Seattle Mariners,3,30,15,0.064,0,0.638,2/3,0.319,1/3,8,0.08,1/7
Wyatt Langford,Texas Rangers,13,60,31,0.194,1/5,0.896,6/7,0.463,3/7,16,0.12,1/7
Jake Burger,Texas Rangers,10,52,29,0.154,1/7,0.8,4/5,0.446,3/7,29,0.21,1/5
Adolis García,Texas Rangers,9,62,39,0.118,1/7,0.816,5/6,0.513,1/2,25,0.16,1/6
Jonah Heim,Texas Rangers,8,46,22,0.131,1/7,0.754,3/4,0.361,1/3,13,0.1,1/7
Josh Jung,Texas Rangers,8,64,34,0.114,1/7,0.914,6/7,0.486,1/2,7,0.15,1/7
Corey Seager,Texas Rangers,7,44,17,0.143,1/7,0.898,6/7,0.347,1/3,30,0.24,1/4
Marcus Semien,Texas Rangers,7,65,33,0.087,1/7,0.812,4/5,0.412,2/5,23,0.14,1/7
Josh Smith,Texas Rangers,7,66,21,0.103,1/7,0.971,1,0.309,1/3,13,0.09,1/7
Evan Carter,Texas Rangers,4,23,11,0.138,1/7,0.793,4/5,0.379,2/5,5,0.11,1/7
Sam Haggerty,Texas Rangers,2,27,10,0.056,0,0.75,3/4,0.278,2/7,0,0.0,0
Joc Pederson,Texas Rangers,2,16,6,0.043,0,0.348,1/3,0.13,1/7,23,0.17,1/6
Pete Crow-Armstrong,Chicago Cubs,21,85,61,0.263,1/4,1.062,1,0.762,3/4,10,0.08,1/7
Seiya Suzuki,Chicago Cubs,21,79,67,0.273,2/7,1.026,1,0.87,6/7,21,0.16,1/6
Kyle Tucker,Chicago Cubs,16,86,49,0.2,1/5,1.075,1,0.613,3/5,23,0.29,2/7
Dansby Swanson,Chicago Cubs,14,74,39,0.175,1/6,0.925,1,0.487,1/2,16,0.11,1/7
Michael Busch,Chicago Cubs,13,68,46,0.173,1/6,0.907,6/7,0.613,3/5,21,0.14,1/7
Ian Happ,Chicago Cubs,12,73,42,0.167,1/6,1.014,1,0.583,4/7,25,0.16,1/6
Carson Kelly,Chicago Cubs,9,42,26,0.176,1/6,0.824,5/6,0.51,1/2,9,0.1,1/7,7,0.12,1/7,2,0.06,0
Reese McGuire,Chicago Cubs,5,11,8,0.357,1/3,0.786,4/5,0.571,4/7,3,0.06,0
Miguel Amaya,Chicago Cubs,4,26,25,0.148,1/7,0.963,1,0.926,1,8,0.07,0
Matt Shaw,Chicago Cubs,2,37,10,0.039,0,0.725,5/7,0.196,1/5,0,0,0
Isaac Paredes,Houston Astros,16,71,46,0.208,1/5,0.922,6/7,0.597,3/5,19,0.12,1/7,3,0.06,0,16,0.16,1/6
Jose Altuve,Houston Astros,12,79,34,0.154,1/7,1.013,1,0.436,3/7,20,0.13,1/7
Jeremy Peña,Houston Astros,11,102,40,0.136,1/7,1.259,5/4,0.494,1/2,15,0.1,1/7
Christian Walker,Houston Astros,10,63,37,0.128,1/7,0.808,4/5,0.474,1/2,26,0.2,1/5
Yainer Diaz,Houston Astros,9,64,31,0.129,1/7,0.914,6/7,0.443,3/7,16,0.11,1/7
Victor Caratini,Houston Astros,6,42,18,0.111,1/7,0.778,4/5,0.333,1/3,8,0.09,1/7
Mauricio Dubón,Houston Astros,5,37,18,0.086,1/7,0.638,2/3,0.31,1/3,4,0.03,0
Cam Smith,Houston Astros,5,62,28,0.075,0,0.925,1,0.418,3/7,0,0,0
Yordan Alvarez,Houston Astros,3,21,18,0.103,1/7,0.724,5/7,0.621,3/5,35,0.24,1/4
Jake Meyers,Houston Astros,3,79,20,0.038,0,1.0,1,0.253,1/4,13,0.09,1/7
Shohei Ohtani,Los Angeles Dodgers,28,92,52,0.35,1/3,1.15,8/7,0.65,2/3,54,0.34,1/3
Andy Pages,Los Angeles Dodgers,16,86,54,0.205,1/5,1.103,8/7,0.692,2/3,13,0.11,1/7
Teoscar Hernández,Los Angeles Dodgers,14,69,53,0.212,1/5,1.045,1,0.803,4/5,33,0.21,1/5
Max Muncy,Los Angeles Dodgers,12,60,51,0.158,1/6,0.789,4/5,0.671,2/3,15,0.21,1/5
